Date,Subway_Total,Percent_Subway_PrePandemic,Buses_Total,Percent_Buses_PrePandemic,LIRR_Total,Percent_LIRR_PrePandemic,MetroNorth_Total,Percent_MetroNorth_PrePandemic,AccessARide_Total,Percent_AccessARide_PrePandemic,Bridges_Tunnels_Total,Percent_Bridges_Tunnels_PrePandemic
2021-08-27,2392602,0.49,1147249,0.57,119700,0.40,90500,0.34,21211,0.79,973335,0.94
2021-08-26,2485132,0.47,1222996,0.59,122100,0.42,91000,0.35,22068,0.79,950534,0.93
2021-08-25,2503420,0.48,1236342,0.61,127400,0.44,93300,0.36,23351,0.80,957036,1.01
2021-08-24,2467406,0.47,1234884,0.60,130600,0.45,98300,0.38,22679,0.80,942935,1.00
2021-08-23,2056731,0.42,1032792,0.53,110000,0.38,84200,0.32,18809,0.74,821654,0.89
2021-08-22,745800,0.32,369246,0.34,27500,0.29,16100,0.20,7979,0.45,489334,0.53
2021-08-21,1716439,0.59,822340,0.60,72800,0.65,62000,0.64,13046,0.79,941331,0.96
2021-08-20,2460924,0.50,1183308,0.62,124600,0.42,99500,0.37,21451,0.79,969814,0.96
2021-08-19,2444495,0.48,1194375,0.60,117400,0.41,93000,0.36,21838,0.77,939085,0.94
2021-08-18,2450516,0.48,1210760,0.61,117200,0.41,97900,0.38,22715,0.78,917872,0.96
2021-08-17,2432692,0.48,1209633,0.60,120700,0.42,103600,0.40,22245,0.79,909180,0.96
2021-08-16,2292396,0.48,1170216,0.61,123900,0.43,100300,0.38,20087,0.77,910779,0.97
2021-08-15,1430620,0.63,661705,0.61,73000,0.78,54400,0.68,12395,0.69,918288,1.01
2021-08-14,1718222,0.60,811826,0.59,75700,0.67,57700,0.60,13157,0.79,904780,0.96
2021-08-13,2434624,0.49,1189426,0.60,123800,0.41,91900,0.34,21336,0.79,973883,0.97
2021-08-12,2453353,0.46,1223666,0.60,119700,0.42,90800,0.35,22427,0.78,965578,0.97
2021-08-11,2480877,0.47,1246306,0.62,119700,0.42,94700,0.37,23338,0.78,931264,0.98
2021-08-10,2447231,0.48,1245670,0.63,122500,0.42,95300,0.37,23079,0.82,905508,1.00
2021-08-09,2294279,0.46,1183050,0.60,109900,0.38,95600,0.36,20540,0.78,891525,0.94
2021-08-08,1333885,0.54,598574,0.54,61100,0.65,54300,0.68,11934,0.67,843489,0.92
2021-08-07,1780458,0.59,836715,0.61,76800,0.68,67300,0.70,14108,0.83,923751,0.94
2021-08-06,2523944,0.49,1222343,0.61,123200,0.41,101200,0.38,22179,0.81,979833,0.96
2021-08-05,2534287,0.47,1259332,0.60,120000,0.42,98300,0.38,22610,0.78,956306,0.96
2021-08-04,2534018,0.48,1257876,0.63,123700,0.43,99300,0.38,23611,0.80,921068,1.01
2021-08-03,2489064,0.47,1262043,0.60,123900,0.43,103200,0.40,22828,0.78,904753,0.97
2021-08-02,2338722,0.46,1208484,0.59,126200,0.43,102300,0.38,19824,0.74,903514,0.96
2021-08-01,1351294,0.55,629963,0.56,66000,0.71,52000,0.65,11627,0.63,869092,0.94
2021-07-31,1841007,0.61,857333,0.61,85400,0.76,67100,0.70,13932,0.84,953445,1.02
2021-07-30,2562489,0.49,1235623,0.60,131900,0.44,103500,0.39,22127,0.81,988596,0.97
2021-07-29,2433507,0.45,1186642,0.55,120300,0.42,94700,0.36,22164,0.77,918380,0.91
2021-07-28,2539760,0.47,1276296,0.62,126800,0.44,100000,0.39,23145,0.79,932094,0.99
2021-07-27,2493079,0.46,1267804,0.60,128300,0.44,103000,0.40,22609,0.78,918908,0.97
2021-07-26,2323169,0.45,1219135,0.59,129900,0.45,101300,0.38,19910,0.75,907205,0.96
2021-07-25,1364830,0.56,625645,0.56,66400,0.71,53100,0.66,11419,0.63,864361,0.91
2021-07-24,1852402,0.61,856250,0.61,84900,0.75,68600,0.71,14042,0.83,950568,0.97
2021-07-23,2557043,0.48,1219255,0.60,130500,0.44,101100,0.38,22314,0.81,985198,0.95
2021-07-22,2587338,0.47,1279778,0.60,127300,0.44,102300,0.39,23122,0.79,963493,0.95
2021-07-21,2509502,0.45,1225595,0.56,121500,0.42,104900,0.41,22865,0.75,914902,0.93
2021-07-20,2467017,0.47,1217802,0.60,125800,0.44,107000,0.41,22213,0.77,924495,1.01
2021-07-19,2332473,0.46,1208792,0.61,126700,0.44,103400,0.39,20276,0.77,897298,0.98
2021-07-18,1405344,0.65,640618,0.62,67400,0.72,56200,0.70,11313,0.73,838604,0.96
2021-07-17,1717480,0.65,795347,0.63,73000,0.65,64500,0.67,13228,0.88,897001,0.97
2021-07-16,2541195,0.49,1219118,0.59,123500,0.41,104300,0.39,21730,0.81,983846,0.96
2021-07-15,2586791,0.48,1275846,0.62,125600,0.44,105200,0.40,23772,0.82,971048,0.99
2021-07-14,2522633,0.46,1260044,0.60,120500,0.42,101800,0.39,23662,0.78,919213,0.97
2021-07-13,2462643,0.44,1239045,0.57,123400,0.43,105300,0.41,22286,0.74,895705,0.94
2021-07-12,2249975,0.43,1171521,0.56,120500,0.41,99000,0.37,20623,0.76,866231,0.91
2021-07-11,1367403,0.56,635511,0.56,62600,0.67,53200,0.66,11725,0.65,830775,0.88
2021-07-10,1783921,0.59,855908,0.59,73000,0.65,64400,0.67,14518,0.85,925950,0.93
2021-07-09,2322712,0.43,1115969,0.55,109400,0.37,88300,0.33,20632,0.74,888932,0.87
2021-07-08,2369035,0.43,1164513,0.56,116300,0.40,93200,0.36,22941,0.77,897858,0.93
2021-07-07,2442092,0.44,1234617,0.57,122600,0.43,99100,0.38,23637,0.79,926634,0.97
2021-07-06,2306692,0.42,1181416,0.54,127900,0.44,100500,0.39,22648,0.76,903777,0.95
2021-07-05,1497714,0.65,770321,0.70,78400,0.84,59700,0.22,10303,0.57,838087,0.91
2021-07-04,1470325,0.54,615001,0.55,70200,0.75,63900,0.80,12816,0.98,773629,0.88
2021-07-03,1543756,0.60,738089,0.58,63800,0.57,57400,0.59,12676,0.87,777262,0.98
2021-07-02,2300302,0.59,1121116,0.64,116500,0.39,94300,0.35,21489,0.97,920188,1.08
2021-07-01,2297059,0.42,1104516,0.53,114400,0.40,90000,0.35,22011,0.74,933638,1.21
2021-06-30,2350864,0.45,1139886,0.55,119400,0.42,99500,0.38,23001,0.77,945822,0.94
2021-06-29,2348456,0.44,1169268,0.56,119400,0.41,97800,0.38,21612,0.73,930011,0.98
2021-06-28,2256926,0.43,1152019,0.56,122300,0.42,101500,0.38,20503,0.77,924740,0.97
2021-06-27,1561403,0.52,656004,0.60,75100,0.80,62400,0.78,11883,0.70,900039,0.97
2021-06-26,1855861,0.58,841585,0.63,76600,0.68,66700,0.69,13520,0.84,950086,0.98
2021-06-25,2587425,0.47,1214123,0.61,126700,0.42,100500,0.37,22400,0.80,988675,0.95
2021-06-24,2557684,0.45,1248843,0.60,121500,0.42,100500,0.39,22842,0.77,978351,0.94
2021-06-23,2552443,0.44,1264095,0.56,121900,0.43,101900,0.39,24223,0.79,946870,0.93
2021-06-22,2359521,0.43,1172110,0.56,116200,0.40,97600,0.38,22293,0.75,896868,0.94
2021-06-21,2268969,0.42,1191844,0.56,123900,0.43,95700,0.36,20512,0.76,926300,0.95
2021-06-20,1389352,0.53,652557,0.58,77000,0.82,60900,0.76,13189,0.71,951631,0.98
2021-06-19,1784312,0.54,841519,0.60,76500,0.68,66100,0.69,13949,0.80,952944,0.95
2021-06-18,2576562,0.46,1235675,0.66,122800,0.41,104300,0.39,22491,0.79,989296,0.96
